1,sentences
1/3/1900,0
10/29/2017,0
10/30/2017,1
10/31/2017,2
11/1/2017,1
11/2/2017,1
11/3/2017,0
11/4/2017,0
11/5/2017,2
11/6/2017,0
11/7/2017,5
11/8/2017,0
11/9/2017,2
11/10/2017,1
11/11/2017,1
11/12/2017,3
11/13/2017,0
11/14/2017,1
11/15/2017,0
11/16/2017,4
11/17/2017,2
11/18/2017,2
11/19/2017,1
11/20/2017,6
11/21/2017,0
11/22/2017,0
11/23/2017,0
11/24/2017,1
11/25/2017,1
11/26/2017,0
11/27/2017,1
11/28/2017,7
11/29/2017,17
11/30/2017,2
12/1/2017,5
12/2/2017,1
12/3/2017,3
12/4/2017,2
12/5/2017,12
12/6/2017,9
12/7/2017,3
12/8/2017,3
12/9/2017,0
12/10/2017,1
12/11/2017,5
12/12/2017,3
12/13/2017,4
12/14/2017,3
12/15/2017,1
12/16/2017,0
12/17/2017,0
12/18/2017,5
12/19/2017,0
12/20/2017,8
12/21/2017,1
12/22/2017,3
12/23/2017,2
12/24/2017,1
12/25/2017,0
12/26/2017,13
12/27/2017,6
12/28/2017,0
