date,sentences
"2017-09-19",1
"2017-09-20",0
"2017-09-21",0
"2017-09-22",0
"2017-09-23",0
"2017-09-24",5
"2017-09-25",0
"2017-09-26",0
"2017-09-27",0
"2017-09-28",0
"2017-09-29",0
"2017-09-30",0
"2017-10-01",0
"2017-10-02",0
"2017-10-03",1
"2017-10-04",0
"2017-10-05",0
"2017-10-06",0
"2017-10-07",0
"2017-10-08",0
"2017-10-09",0
"2017-10-10",0
"2017-10-11",0
"2017-10-12",0
"2017-10-13",0
"2017-10-14",0
"2017-10-15",0
"2017-10-16",0
"2017-10-17",19
"2017-10-18",12
"2017-10-19",42
"2017-10-20",7
"2017-10-21",3
"2017-10-22",6
"2017-10-23",17
"2017-10-24",50
"2017-10-25",34
"2017-10-26",31
"2017-10-27",48
"2017-10-28",2
"2017-10-29",46
"2017-10-30",48
"2017-10-31",40
"2017-11-01",6
"2017-11-02",6
"2017-11-03",27
"2017-11-04",6
"2017-11-05",2
"2017-11-06",1
"2017-11-07",11
"2017-11-08",3
"2017-11-09",11
"2017-11-10",0
"2017-11-11",0
"2017-11-12",1
"2017-11-13",38
"2017-11-14",99
"2017-11-15",59
"2017-11-16",44
"2017-11-17",4
"2017-11-18",5
"2017-11-19",14
