country-alpha3,country-name,mediacloud-tags-id,geonames-id,sampled-count
USA,United States,8878461,6252001,0.2925
GBR,United Kingdom of Great Britain and Northern Ireland,8878466,2635167,0.0337
CAN,Canada,8878548,6251999,0.019
IND,Republic of India,8878677,1269750,0.0172
RUS,Russian Federation,8878645,2017370,0.0145
NGA,Federal Republic of Nigeria,8878919,2328926,0.0126
AUS,Commonwealth of Australia,8878705,2077456,0.0119
CHN,People‰Ûªs Republic of China,8878478,1814991,0.0107
DEU,Federal Republic of Germany,8878575,2921044,0.0061
PAK,Islamic Republic of Pakistan,8878760,1168579,0.0061
PRK,Democratic People‰Ûªs Republic of Korea,8878619,1873107,0.0054
SYR,Syrian Arab Republic,8879173,163843,0.005
FRA,Republic of France,8878470,3017382,0.0047
IRN,Islamic Republic of Iran,8878503,130758,0.0047
TUR,Republic of Turkey,8878745,298795,0.0046
JPN,Japan,8878551,1861060,0.0045
ESP,Kingdom of Spain,8878587,2510769,0.0041
ZAF,Republic of South Africa,8878908,953987,0.004
IRQ,Republic of Iraq,8878625,99237,0.0035
MEX,Mexico,8878716,3996063,0.0033
ISR,State of Israel,8878501,294640,0.0032
BRA,Federative Republic of Brazil,8878586,3469034,0.0029
ITA,Repubblica Italiana,8878643,3175395,0.0027
KEN,Republic of Kenya,8878654,192950,0.0025
KOR,Republic of Korea,8878651,1835841,0.0023
SWE,Kingdom of Sweden,8878620,2661886,0.0022
IRL,Ireland,8878469,2963597,0.0022
PHL,Republic of the Philippines,8878724,1694008,0.0021
AFG,Islamic Republic of Afghanistan,8878685,1149361,0.002
EGY,Arab Republic of Egypt,8879007,357994,0.0019
NZL,New Zealand,8878868,2186224,0.0019
MYS,Malaysia,8878963,1733045,0.0018
ZWE,Republic of Zimbabwe,8878795,878675,0.0017
ARE,United Arab Emirates,8878961,290557,0.0015
QAT,State of Qatar,8879420,289688,0.0015
THA,Kingdom of Thailand,8878894,1605651,0.0015
BGD,Bangladesh,8878938,1210997,0.0014
BEL,Kingdom of Belgium,8879013,2802361,0.0014
GHA,Republic of Ghana,8879465,2300660,0.0013
PRI,Puerto Rico,8878740,4566966,0.0013
SGP,Republic of Singapore,8878605,1880251,0.0012
LBY,Libya,8878608,2215636,0.0012
CUB,Republic of Cuba,8878744,3562981,0.0012
NOR,Kingdom of Norway,8879521,3144096,0.0012
CHE,Swiss Confederation,8879101,2658434,0.0011
GRC,Hellenic Republic,8878471,390903,0.0011
POL,Republic of Poland,8878863,798544,0.0011
SAU,Kingdom of Saudi Arabia,8879002,102358,0.0011
IDN,Republic of Indonesia,8879351,1643084,0.001
VNM,Socialist Republic of Vietnam,8878732,1562822,0.001
NLD,Kingdom of the Netherlands,8878859,2750405,0.001
TWN,Taiwan,8878729,1668284,0.0009
MMR,Union of Burma,8879627,1327865,0.0009
UKR,Ukraine,8878855,690791,0.0009
KHM,Kingdom of Cambodia,8880588,1831722,0.0008
HKG,Hong Kong Special Administrative Region,8879239,1819730,0.0008
LKA,Democratic Socialist Republic of Sri Lanka,8878890,1227603,0.0008
ARG,Argentine Republic,8878517,3865483,0.0007
VEN,Bolivarian Republic of Venezuela,8878519,3625428,0.0007
YEM,Republic of Yemen,8879469,69543,0.0007
ALB,Republic of Albania,8878680,783754,0.0006
MKD,Republic of Macedonia,8879227,718075,0.0006
SOM,Somalia,8878889,51537,0.0006
CZE,Czech Republic,8879024,3077311,0.0006
COL,Republic of Colombia,8878514,3686110,0.0006
AZE,Republic of Azerbaijan,8880194,587116,0.0006
NER,Republic of Niger,8879558,2440476,0.0006
PRT,Portuguese Republic,8878559,2264397,0.0006
GEO,Georgia,8881304,614540,0.0005
PER,Republic of Peru,8878516,3932488,0.0005
TZA,United Republic of Tanzania,8878917,149590,0.0005
HUN,Hungary,8879042,719819,0.0005
ARM,Republic of Armenia,8880937,174982,0.0005
PSE,Palestine,8879396,6254930,0.0005
JOR,Hashemite Kingdom of Jordan,8879389,248816,0.0005
FIN,Republic of Finland,8878891,660013,0.0005
LAO,Lao People‰Ûªs Democratic Republic,8881660,1655842,0.0005
MAR,Kingdom of Morocco,8878798,2542007,0.0004
ROU,RomÌ¢nia,8879036,798549,0.0004
JAM,Jamaica,8879079,3489940,0.0004
AUT,Republic of Austria,8878474,2782113,0.0004
VAT,State of the Vatican City,8880529,3164670,0.0004
ETH,Federal Democratic Republic of Ethiopia,8879293,337996,0.0004
SVK,Slovak Republic,8881164,3057568,0.0004
UGA,Republic of Uganda,8878653,226074,0.0003
GMB,Gambia,8883402,2413451,0.0003
CHL,Republic of Chile,8878681,3895114,0.0003
BEN,Republic of Benin,8879959,2395170,0.0003
MDG,Republic of Madagascar,8880257,1062947,0.0003
GAB,Gabonese Republic,8879474,2400553,0.0003
DNK,Kingdom of Denmark,8878871,2623032,0.0003
CMR,Republic of Cameroon,8878742,2233387,0.0003
BLR,Republic of Belarus,8878999,630336,0.0003
AGO,Republic of Angola,8878796,3351879,0.0003
HRV,Republic of Croatia,8879217,3202326,0.0003
LBN,Lebanon,8879238,272103,0.0003
SLE,Republic of Sierra Leone,8879241,2403846,0.0003
LBR,Republic of Liberia,8879244,2275384,0.0003
SRB,Serbia,8879166,6290252,0.0003
HTI,Republic of Haiti,8878602,3723988,0.0002
SDN,Republic of the Sudan,8878649,366755,0.0002
COD,Democratic Republic of the Congo,8878650,203312,0.0002
BOL,Plurinational State of Bolivia,8878833,3923057,0.0002
KAZ,Republic of Kazakhstan,8878839,1522867,0.0002
GTM,Republic of Guatemala,8878977,3595528,0.0002
KWT,State of Kuwait,8878996,285570,0.0002
SEN,Republic of Senegal,8879028,2245662,0.0002
ZMB,Republic of Zambia,8879165,895949,0.0002
BRB,Barbados,8879189,3374084,0.0002
NIC,Republic of Nicaragua,8879214,3617476,0.0002
SVN,Republic of Slovenia,8879215,3190538,0.0002
DOM,Dominican Republic,8879379,3508796,0.0002
MLT,Republic of Malta,8879668,2562770,0.0002
