Rank,Country (or dependent territory),Population
,Bahrain,100
,Ghana,100
,United Kingdom,98
,Nigeria,91
,Myanmar (Burma),87
,Nepal,86
,Ireland,86
,Pakistan,85
,India,83
,United States,83
,Australia,80
,Oman,79
,Canada,70
,South Africa,64
,Cyprus,62
,Philippines,57
,New Zealand,56
,Kenya,56
,United Arab Emirates,55
,Singapore,54
,Bangladesh,48
,Kuwait,45
,Malaysia,44
,Hong Kong,42
,Sri Lanka,38
,Norway,31
,Serbia,25
,Croatia,24
,Greece,22
,Saudi Arabia,20
,Portugal,20
,Austria,15
,Netherlands,14
,Denmark,14
,Sweden,13
,Switzerland,13
,Germany,11
,Romania,10
,Algeria,9
,Belgium,9
,Spain,7
,France,6
,Indonesia,6
,Italy,5
,Thailand,4
,Mexico,4
,Brazil,4
,Argentina,3
,Vietnam,3
,Poland,3
,Russian Federation,2
,Turkey,2
,Japan,1
