country-alpha3,country-name,mediacloud-tags-id,geonames-id,sampled-count
USA,United States,8878461,6252001,0.1096
GBR,United Kingdom of Great Britain and Northern Ireland,8878466,2635167,0.0201
CHN,People‰Ûªs Republic of China,8878478,1814991,0.0096
AUS,Commonwealth of Australia,8878705,2077456,0.008
IRN,Islamic Republic of Iran,8878503,130758,0.0064
IND,Republic of India,8878677,1269750,0.0062
CAN,Canada,8878548,6251999,0.005
FRA,Republic of France,8878470,3017382,0.0042
RUS,Russian Federation,8878645,2017370,0.0034
SYR,Syrian Arab Republic,8879173,163843,0.0034
DEU,Federal Republic of Germany,8878575,2921044,0.003
TUR,Republic of Turkey,8878745,298795,0.0028
JPN,Japan,8878551,1861060,0.0023
IRL,Ireland,8878469,2963597,0.0022
PAK,Islamic Republic of Pakistan,8878760,1168579,0.0021
PRK,Democratic People‰Ûªs Republic of Korea,8878619,1873107,0.0021
IRQ,Republic of Iraq,8878625,99237,0.0019
ITA,Repubblica Italiana,8878643,3175395,0.0018
ZAF,Republic of South Africa,8878908,953987,0.0018
MEX,Mexico,8878716,3996063,0.0018
SAU,Kingdom of Saudi Arabia,8879002,102358,0.0017
ARE,United Arab Emirates,8878961,290557,0.0016
EGY,Arab Republic of Egypt,8879007,357994,0.0015
AFG,Islamic Republic of Afghanistan,8878685,1149361,0.0014
PHL,Republic of the Philippines,8878724,1694008,0.0014
ISR,State of Israel,8878501,294640,0.0013
NGA,Federal Republic of Nigeria,8878919,2328926,0.0013
LBY,Libya,8878608,2215636,0.0011
HKG,Hong Kong Special Administrative Region,8879239,1819730,0.0011
KEN,Republic of Kenya,8878654,192950,0.001
THA,Kingdom of Thailand,8878894,1605651,0.0008
MYS,Malaysia,8878963,1733045,0.0008
BEL,Kingdom of Belgium,8879013,2802361,0.0008
YEM,Republic of Yemen,8879469,69543,0.0008
ESP,Kingdom of Spain,8878587,2510769,0.0007
ARG,Argentine Republic,8878517,3865483,0.0007
BRA,Federative Republic of Brazil,8878586,3469034,0.0007
GRC,Hellenic Republic,8878471,390903,0.0007
CUB,Republic of Cuba,8878744,3562981,0.0007
NZL,New Zealand,8878868,2186224,0.0007
IDN,Republic of Indonesia,8879351,1643084,0.0007
UKR,Ukraine,8878855,690791,0.0006
SGP,Republic of Singapore,8878605,1880251,0.0006
SWE,Kingdom of Sweden,8878620,2661886,0.0006
COL,Republic of Colombia,8878514,3686110,0.0006
JOR,Hashemite Kingdom of Jordan,8879389,248816,0.0006
TWN,Taiwan,8878729,1668284,0.0006
GHA,Republic of Ghana,8879465,2300660,0.0006
SRB,Serbia,8879166,6290252,0.0005
KWT,State of Kuwait,8878996,285570,0.0005
CHE,Swiss Confederation,8879101,2658434,0.0005
POL,Republic of Poland,8878863,798544,0.0004
VNM,Socialist Republic of Vietnam,8878732,1562822,0.0004
PER,Republic of Peru,8878516,3932488,0.0004
HUN,Hungary,8879042,719819,0.0004
AUT,Republic of Austria,8878474,2782113,0.0004
ZWE,Republic of Zimbabwe,8878795,878675,0.0004
MAR,Kingdom of Morocco,8878798,2542007,0.0004
LBN,Lebanon,8879238,272103,0.0004
SDN,Republic of the Sudan,8878649,366755,0.0004
NLD,Kingdom of the Netherlands,8878859,2750405,0.0004
CYM,Cayman Islands,8880271,3580718,0.0004
KOR,Republic of Korea,8878651,1835841,0.0004
BHR,Kingdom of Bahrain,8881218,290291,0.0004
CZE,Czech Republic,8879024,3077311,0.0003
PSE,Palestine,8879396,6254930,0.0003
GUM,Guam,8893612,4043988,0.0003
MMR,Union of Burma,8879627,1327865,0.0003
OMN,Sultanate of Oman,8880738,286963,0.0003
TTO,Republic of Trinidad and Tobago,8879978,3573591,0.0002
KHM,Kingdom of Cambodia,8880588,1831722,0.0002
UGA,Republic of Uganda,8878653,226074,0.0002
RWA,Republic of Rwanda,8878646,49518,0.0002
LBR,Republic of Liberia,8879244,2275384,0.0002
SLE,Republic of Sierra Leone,8879241,2403846,0.0002
GEO,Georgia,8881304,614540,0.0002
SSD,South Sudan,8881371,7909807,0.0002
VEN,Bolivarian Republic of Venezuela,8878519,3625428,0.0002
FIN,Republic of Finland,8878891,660013,0.0002
BGD,Bangladesh,8878938,1210997,0.0002
PRT,Portuguese Republic,8878559,2264397,0.0002
LAO,Lao People‰Ûªs Democratic Republic,8881660,1655842,0.0002
JAM,Jamaica,8879079,3489940,0.0002
KGZ,Kyrgyz Republic,8882064,1527747,0.0002
GUY,Co-operative Republic of Guyana,8880266,3378535,0.0002
BHS,Commonwealth of The Bahamas,8880263,3572887,0.0002
AZE,Republic of Azerbaijan,8880194,587116,0.0002
ECU,Republic of Ecuador,8878512,3658394,0.0001
ALB,Republic of Albania,8878680,783754,0.0001
CHL,Republic of Chile,8878681,3895114,0.0001
AGO,Republic of Angola,8878796,3351879,0.0001
DZA,People‰Ûªs Democratic Republic of Algeria,8878799,2589581,0.0001
KAZ,Republic of Kazakhstan,8878839,1522867,0.0001
DNK,Kingdom of Denmark,8878871,2623032,0.0001
LKA,Democratic Socialist Republic of Sri Lanka,8878890,1227603,0.0001
ZMB,Republic of Zambia,8879165,895949,0.0001
BRB,Barbados,8879189,3374084,0.0001
NIC,Republic of Nicaragua,8879214,3617476,0.0001
HRV,Republic of Croatia,8879217,3202326,0.0001
ETH,Federal Democratic Republic of Ethiopia,8879293,337996,0.0001
NOR,Kingdom of Norway,8879521,3144096,0.0001
NER,Republic of Niger,8879558,2440476,0.0001
MDV,Republic of Maldives,8879624,1282028,0.0001
TUN,Republic of Tunisia,8879640,2464461,0.0001
PAN,Republic of Panama,8879660,3703430,0.0001
PRY,Republic of Paraguay,8879878,3437598,0.0001
BLZ,Belize,8880110,3582678,0.0001
JEY,Bailiwick of Jersey,8880389,3042142,0.0001
MNG,Mongolia,8880726,2029969,0.0001
ARM,Republic of Armenia,8880937,174982,0.0001
NPL,Federal Democratic Republic of Nepal,8880949,1282988,0.0001
ATA,Antarctica,8880966,6697173,0.0001
BTN,Kingdom of Bhutan,8881196,1252634,0.0001
SLV,Republic of El Salvador,8881667,3585968,0.0001
CAF,Central African Republic,8881721,239880,0.0001
MWI,Republic of Malawi,8882402,927384,0.0001
CYP,Republic of Cyprus,8882426,146669,0.0001
MCO,Principality of Monaco,8883350,2993457,0.0001
SWZ,Kingdom of Swaziland,8885589,934841,0.0001
