Rank,Country (or dependent territory),Population
,United States,100
,Canada,68
,Singapore,57
,Ireland,53
,United Kingdom,48
,Norway,47
,Australia,41
,New Zealand,41
,South Africa,34
,Denmark,33
,Germany,32
,Switzerland,30
,Sweden,27
,Austria,27
,Philippines,25
,Hong Kong,25
,Kenya,19
,Netherlands,18
,Belgium,18
,United Arab Emirates,18
,Israel,16
,Finland,13
,Malaysia,13
,Portugal,13
,Nigeria,13
,India,11
,France,10
,Italy,10
,Romania,10
,Pakistan,10
,Greece,9
,Czechia,9
,South Korea,8
,Mexico,8
,Taiwan,5
,Poland,5
,Spain,5
,Thailand,4
,Brazil,3
,Indonesia,3
,Japan,2
,Russia,1
,Turkey,1
