Rank,Country (or dependent territory),Population
,"* Saint Helena, Ascension and Tristan da Cunha* ",100
,Qatar,57
,Ghana,57
,United Kingdom,42
,Ireland,40
,India,36
,Oman,34
,United States,34
,Pakistan,33
,Nepal,33
,Nigeria,33
,United Arab Emirates,30
,New Zealand,29
,Singapore,27
,Kuwait,25
,Australia,25
,Canada,24
,Bangladesh,24
,Philippines,22
,South Africa,22
,Malaysia,20
,Romania,18
,Sri Lanka,18
,Kenya,13
,Saudi Arabia,10
,Hong Kong,9
,Serbia,9
,Norway,9
,Netherlands,9
,Finland,8
,Greece,8
,Sweden,8
,Portugal,6
,Austria,6
,Switzerland,6
,Germany,5
,Italy,5
,Denmark,5
,South Korea,4
,Israel,4
,Belgium,3
,Indonesia,3
,Thailand,2
,France,2
,Mexico,2
,Spain,2
,Ukraine,2
,Turkey,1
,Vietnam,1
,Poland,1
,Brazil,1
,Japan,1
