Rank,Country (or dependent territory),Population
,Philippines,100
,United States,47
,Singapore,44
,Canada,34
,Denmark,32
,Italy,29
,Ireland,28
,Norway,26
,United Kingdom,26
,United Arab Emirates,24
,Switzerland,22
,Australia,21
,South Africa,20
,New Zealand,20
,Hong Kong,19
,Austria,19
,Belgium,19
,Sweden,18
,Kenya,16
,Germany,15
,Brazil,14
,Netherlands,14
,Portugal,12
,Malaysia,11
,Czechia,11
,Bulgaria,11
,Greece,10
,France,10
,India,10
,Pakistan,10
,Nigeria,9
,Romania,8
,Finland,8
,Spain,8
,Israel,7
,South Korea,7
,Poland,6
,Hungary,5
,Mexico,4
,Saudi Arabia,4
,Colombia,3
,Thailand,2
,Argentina,2
,Vietnam,2
,Indonesia,2
,Japan,1
,Russia,1
,Turkey,1
