Date,Great Deal,Fair Amount,Not Very Much,None At All 
May-72,18,50,24,6
Apr-74,21,48,21,8
Jun-76,18,54,22,4
Jun-97,10,43,31,15
Dec-98,11,44,35,9
Feb-99,11,44,34,11
Jul-00,12,39,37,12
Sep-01,12,41,33,14
Sep-02,10,44,35,11
Sep-03,14,40,35,11
Sep-04,9,35,39,16
Sep-05,13,37,37,12
Sep-07,9,38,35,17
Sep-08,9,34,35,21
Aug-09,10,35,37,18
Sep-10,12,31,36,21
Sep-11,11,33,36,19
Sep-12,8,32,39,21
Sep-13,11,33,33,22
Sep-14,10,30,36,24
Sep-15,7,33,36,24
Sep-16,8,24,41,27
Sep-17,13,28,29,29
